countrycode,coveragetype,year,datatype,comparability
MEX,3,2000,1,
MEX,3,2000,2,0
MEX,3,2002,1,
MEX,3,2002,2,0
MEX,3,2004,1,
MEX,3,2004,2,0
MEX,3,2005,1,
MEX,3,2005,2,0
MEX,3,2006,1,
MEX,3,2006,2,0
MEX,3,2008,1,
MEX,3,2008,2,0
MEX,3,2010,1,
MEX,3,2010,2,0
MEX,3,2012,1,
MEX,3,2012,2,0
MEX,3,2014,1,
MEX,3,2014,2,0
MEX,3,2016,1,
MEX,3,2016,2,1
MKD,3,1998,1,0
MKD,3,2000,1,1
MKD,3,2002,1,1
MKD,3,2003,1,1
MKD,3,2004,1,1
MKD,3,2005,1,1
MKD,3,2006,1,1
MKD,3,2008,1,1
MKD,3,2009,2,2
MKD,3,2010,2,2
MKD,3,2011,2,2
MKD,3,2012,2,2
MKD,3,2013,2,2
MKD,3,2014,2,2
MKD,3,2015,2,2
MLI,3,1994,1,0
MLI,3,2001,1,1
MLI,3,2006,1,2
MLI,3,2009,1,2
MLT,3,2006,2,0
MLT,3,2007,2,0
MLT,3,2008,2,0
MLT,3,2009,2,0
MLT,3,2010,2,0
MLT,3,2011,2,0
MLT,3,2012,2,0
MLT,3,2013,2,0
MLT,3,2014,2,0
MLT,3,2015,2,0
MMR,3,2015,1,0
MNE,3,2005,1,0
MNE,3,2006,1,0
MNE,3,2007,1,0
MNE,3,2008,1,0
MNE,3,2009,1,0
MNE,3,2010,1,0
MNE,3,2011,1,0
MNE,3,2012,1,0
MNE,3,2013,1,0
MNE,3,2014,1,0
MNG,3,1995,1,0
MNG,3,1998,1,0
MNG,3,2002,1,1
MNG,3,2007,1,2
MNG,3,2010,1,3
MNG,3,2011,1,3
MNG,3,2012,1,3
MNG,3,2014,1,3
MNG,3,2016,1,3
MOZ,3,1996,1,0
MOZ,3,2002,1,0
MOZ,3,2008,1,0
MOZ,3,2014,1,0
MRT,3,1987,1,0
MRT,3,1993,1,1
MRT,3,1995,1,2
MRT,3,2000,1,3
MRT,3,2004,1,3
MRT,3,2008,1,3
MRT,3,2014,1,3
MUS,3,2006,1,0
MUS,3,2012,1,0
MWI,3,1997,1,0
MWI,3,2004,1,1
MWI,3,2010,1,1
MWI,3,2016,1,1
MYS,3,1984,2,0
MYS,3,1987,2,0
MYS,3,1989,2,0
MYS,3,1992,2,0
MYS,3,1995,2,0
MYS,3,1997,2,0
MYS,3,2004,2,1
MYS,3,2007,2,1
MYS,3,2008,2,1
MYS,3,2011,2,1
MYS,3,2013,2,1
MYS,3,2015,2,1
NAM,3,1993,2,0
NAM,3,2003,1,1
NAM,3,2009,1,1
NAM,3,2015,1,1
NER,3,1992,1,0
NER,3,1994,1,1
NER,3,2005,1,2
NER,3,2007,1,3
NER,3,2011,1,4
NER,3,2014,1,4
NGA,3,1985,1,0
NGA,3,1992,1,1
NGA,3,1996,1,2
NGA,3,2003,1,3
NGA,3,2009,1,3
NIC,3,1993,1,
NIC,3,1993,2,0
NIC,3,1998,1,
NIC,3,1998,2,0
NIC,3,2001,1,
NIC,3,2001,2,0
NIC,3,2005,1,
NIC,3,2005,2,1
NIC,3,2009,2,1
NIC,3,2014,2,1
NLD,3,2004,2,0
NLD,3,2005,2,0
NLD,3,2006,2,0
NLD,3,2007,2,0
NLD,3,2008,2,0
NLD,3,2009,2,0
NLD,3,2010,2,0
NLD,3,2011,2,0
NLD,3,2012,2,0
NLD,3,2013,2,0
NLD,3,2014,2,0
NLD,3,2015,2,0
NOR,3,2003,2,0
NOR,3,2004,2,0
NOR,3,2005,2,0
NOR,3,2006,2,0
NOR,3,2007,2,0
NOR,3,2008,2,0
NOR,3,2009,2,0
NOR,3,2010,2,0
NOR,3,2011,2,0
NOR,3,2012,2,0
NOR,3,2013,2,0
NOR,3,2014,2,0
NOR,3,2015,2,0
NPL,3,1984,2,0
NPL,3,1995,1,1
NPL,3,2003,1,1
NPL,3,2010,1,2
PAK,3,1987,1,0
PAK,3,1990,1,0
PAK,3,1996,1,0
PAK,3,1998,1,0
PAK,3,2001,1,0
PAK,3,2004,1,1
PAK,3,2005,1,1
PAK,3,2007,1,1
PAK,3,2010,1,1
PAK,3,2011,1,1
PAK,3,2013,1,1
PAK,3,2015,1,1
PAN,3,1979,2,0
PAN,3,1989,2,1
PAN,3,1991,2,2
PAN,3,1995,2,3
PAN,3,1997,2,3
PAN,3,1998,2,3
PAN,3,1999,2,3
PAN,3,2000,2,3
PAN,3,2001,2,4
PAN,3,2002,2,4
PAN,3,2003,2,4
PAN,3,2004,2,4
PAN,3,2005,2,4
PAN,3,2006,2,4
PAN,3,2007,2,4
PAN,3,2008,2,5
PAN,3,2009,2,5
PAN,3,2010,2,5
PAN,3,2011,2,5
PAN,3,2012,2,5
PAN,3,2013,2,5
PAN,3,2014,2,5
PAN,3,2015,2,5
PAN,3,2016,2,5
PAN,3,2017,2,5
PER,3,1985,1,0
PER,3,1994,1,0
PER,3,1997,2,1
PER,3,1998,2,1
PER,3,1999,2,1
PER,3,2000,2,2
PER,3,2001,2,2
PER,3,2002,2,2
PER,3,2003,2,2
PER,3,2004,2,3
PER,3,2005,2,3
PER,3,2006,2,3
PER,3,2007,2,3
PER,3,2008,2,3
PER,3,2009,2,3
PER,3,2010,2,3
PER,3,2011,2,3
PER,3,2012,2,3
PER,3,2013,2,3
PER,3,2014,2,3
PER,3,2015,2,3
PER,3,2016,2,3
PER,3,2017,2,3
PHL,3,1985,1,0
PHL,3,1988,1,0
PHL,3,1991,1,0
PHL,3,1994,1,0
PHL,3,1997,1,1
PHL,3,2000,1,2
PHL,3,2000,2,2
PHL,3,2003,1,3
PHL,3,2003,2,3
PHL,3,2006,1,3
PHL,3,2006,2,3
PHL,3,2009,1,3
PHL,3,2009,2,3
PHL,3,2012,1,3
PHL,3,2012,2,3
PHL,3,2015,1,3
PHL,3,2015,2,3
PNG,3,1996,1,0
PNG,3,2009,1,1
POL,3,1985,2,0
POL,3,1987,2,0
POL,3,1989,2,0
POL,3,1993,1,1
POL,3,1996,1,1
POL,3,1998,1,2
POL,3,1999,1,2
POL,3,2000,1,2
POL,3,2001,1,2
POL,3,2002,1,2
POL,3,2003,1,2
POL,3,2004,1,2
POL,3,2004,2,3
POL,3,2005,1,2
POL,3,2005,2,3
POL,3,2006,1,2
POL,3,2006,2,3
POL,3,2007,1,2
POL,3,2007,2,3
POL,3,2008,1,2
POL,3,2008,2,3
POL,3,2009,1,2
POL,3,2009,2,3
POL,3,2010,1,2
POL,3,2010,2,3
POL,3,2011,1,2
POL,3,2011,2,3
POL,3,2012,1,2
POL,3,2012,2,3
POL,3,2013,1,2
POL,3,2013,2,3
POL,3,2014,1,2
POL,3,2014,2,3
POL,3,2015,1,2
POL,3,2015,2,3
POL,3,2016,1,2
PRT,3,2003,2,0
PRT,3,2004,2,0
PRT,3,2005,2,0
PRT,3,2006,2,0
PRT,3,2007,2,0
PRT,3,2008,2,0
PRT,3,2009,2,0
PRT,3,2010,2,0
PRT,3,2011,2,0
PRT,3,2012,2,0
PRT,3,2013,2,0
PRT,3,2014,2,0
PRT,3,2015,2,0
PRY,3,1990,2,0
PRY,3,1995,2,0
PRY,3,1997,2,1
PRY,3,1999,2,2
PRY,3,2001,2,3
PRY,3,2002,2,4
PRY,3,2003,2,5
PRY,3,2004,2,5
PRY,3,2005,2,5
PRY,3,2006,2,5
PRY,3,2007,2,5
PRY,3,2008,2,5
PRY,3,2009,2,5
PRY,3,2010,2,5
PRY,3,2011,2,5
PRY,3,2012,2,5
PRY,3,2013,2,5
PRY,3,2014,2,5
PRY,3,2015,2,5
PRY,3,2016,2,5
PRY,3,2017,2,5
PSE,3,2004,1,0
PSE,3,2005,1,0
PSE,3,2006,1,0
PSE,3,2007,1,0
PSE,3,2009,1,0
PSE,3,2010,1,0
PSE,3,2011,1,0
PSE,3,2016,1,0
ROU,3,1989,2,0
ROU,3,1992,2,0
ROU,3,1994,2,0
ROU,3,1998,1,1
ROU,3,1999,1,2
ROU,3,2000,1,1
ROU,3,2001,1,2
ROU,3,2002,1,2
ROU,3,2003,1,2
ROU,3,2004,1,2
ROU,3,2005,1,2
ROU,3,2006,1,2
ROU,3,2006,2,3
ROU,3,2007,1,2
ROU,3,2007,2,3
ROU,3,2008,1,2
ROU,3,2008,2,3
ROU,3,2009,1,2
ROU,3,2009,2,3
ROU,3,2010,1,2
ROU,3,2010,2,3
ROU,3,2011,1,2
ROU,3,2011,2,3
ROU,3,2012,1,2
ROU,3,2012,2,3
ROU,3,2013,1,2
ROU,3,2013,2,3
ROU,3,2014,2,3
ROU,3,2015,2,3
ROU,3,2016,1,2
RUS,3,1993,1,1
RUS,3,1996,1,1
RUS,3,1997,1,3
RUS,3,1998,1,3
RUS,3,1999,1,3
RUS,3,2000,1,3
RUS,3,2001,1,2
RUS,3,2002,1,3
RUS,3,2003,1,3
RUS,3,2004,1,3
RUS,3,2005,1,3
RUS,3,2006,1,3
RUS,3,2007,1,3
RUS,3,2008,1,3
RUS,3,2009,1,3
RUS,3,2010,1,3
RUS,3,2011,1,3
RUS,3,2012,1,3
RUS,3,2013,1,3
RUS,3,2014,1,3
RUS,3,2015,1,3
RWA,3,1984,1,0
RWA,3,2000,1,1
RWA,3,2005,1,1
RWA,3,2010,1,1
RWA,3,2013,1,1
RWA,3,2016,1,1
SDN,3,2009,1,0
SEN,3,1991,1,0
SEN,3,1994,1,1
SEN,3,2001,1,2
SEN,3,2005,1,3
SEN,3,2011,1,3
SLB,3,2005,1,0
SLB,3,2013,1,1
SLE,3,1989,1,0
SLE,3,2003,1,1
SLE,3,2011,1,1
SLV,3,1989,2,0
SLV,3,1991,2,1
SLV,3,1995,2,1
SLV,3,1996,2,1
SLV,3,1998,2,1
SLV,3,1999,2,1
SLV,3,2000,2,1
SLV,3,2001,2,1
SLV,3,2002,2,1
SLV,3,2003,2,1
SLV,3,2004,2,1
SLV,3,2005,2,1
SLV,3,2006,2,1
SLV,3,2007,2,1
SLV,3,2008,2,1
SLV,3,2009,2,1
SLV,3,2010,2,1
SLV,3,2011,2,1
SLV,3,2012,2,1
SLV,3,2013,2,1
SLV,3,2014,2,1
SLV,3,2015,2,1
SLV,3,2016,2,1
SLV,3,2017,2,1
SRB,3,2002,1,0
SRB,3,2003,1,1
SRB,3,2004,1,1
SRB,3,2005,1,1
SRB,3,2006,1,1
SRB,3,2007,1,1
SRB,3,2008,1,1
SRB,3,2009,1,1
SRB,3,2010,1,1
SRB,3,2012,2,2
SRB,3,2013,1,1
SRB,3,2013,2,2
SRB,3,2014,2,2
SRB,3,2015,1,1
SRB,3,2015,2,2
SSD,3,2009,1,0
STP,3,2000,1,0
STP,3,2010,1,1
SUR,3,1999,2,0
SVK,3,1996,2,0
SVK,3,2004,1,1
SVK,3,2004,2,2
SVK,3,2005,1,1
SVK,3,2005,2,2
SVK,3,2006,1,1
SVK,3,2006,2,2
SVK,3,2007,1,1
SVK,3,2007,2,2
SVK,3,2008,1,1
SVK,3,2008,2,2
SVK,3,2009,1,1
SVK,3,2009,2,2
SVK,3,2010,2,2
SVK,3,2011,2,2
SVK,3,2012,2,2
SVK,3,2013,2,2
SVK,3,2014,2,2
SVK,3,2015,2,2
SVN,3,1993,2,0
SVN,3,1998,1,1
SVN,3,2002,1,2
SVN,3,2003,1,2
SVN,3,2004,2,3
SVN,3,2005,2,3
SVN,3,2006,2,3
SVN,3,2007,2,3
SVN,3,2008,2,3
SVN,3,2009,2,3
SVN,3,2010,2,3
SVN,3,2011,2,3
SVN,3,2012,2,3
SVN,3,2013,2,3
SVN,3,2014,2,3
SVN,3,2015,2,3
SWE,3,2003,2,0
SWE,3,2004,2,0
SWE,3,2005,2,0
SWE,3,2006,2,0
SWE,3,2007,2,0
SWE,3,2008,2,0
SWE,3,2009,2,0
SWE,3,2010,2,0
SWE,3,2011,2,0
SWE,3,2012,2,0
SWE,3,2013,2,0
SWE,3,2014,2,0
SWE,3,2015,2,0
SWZ,3,1994,1,0
SWZ,3,2000,1,1
SWZ,3,2009,1,1
SYC,3,1999,1,0
SYC,3,2006,1,1
SYC,3,2013,2,2
SYR,3,2004,1,0
TCD,3,2003,1,0
TCD,3,2011,1,0
TGO,3,2006,1,0
TGO,3,2011,1,0
TGO,3,2015,1,0
THA,3,1981,1,0
THA,3,1988,1,0
THA,3,1990,1,1
THA,3,1992,1,1
THA,3,1994,1,1
THA,3,1996,1,1
THA,3,1998,1,1
THA,3,1999,1,1
THA,3,2000,1,2
THA,3,2002,1,2
THA,3,2004,1,2
THA,3,2006,1,2
THA,3,2007,1,2
THA,3,2008,1,2
THA,3,2009,1,2
THA,3,2010,1,2
THA,3,2011,1,2
THA,3,2012,1,2
THA,3,2013,1,2
THA,3,2014,1,3
THA,3,2015,1,3
THA,3,2016,1,3
THA,3,2017,1,3
TJK,3,1999,1,0
TJK,3,2003,1,0
TJK,3,2004,1,1
TJK,3,2007,1,0
TJK,3,2009,1,0
TJK,3,2015,1,0
TKM,3,1998,1,0
TLS,3,2001,1,0
TLS,3,2007,1,0
TLS,3,2014,1,0
TON,3,2001,1,0
TON,3,2009,1,1
TON,3,2015,1,1
TTO,3,1988,2,0
TTO,3,1992,2,1
TUN,3,1985,1,0
TUN,3,1990,1,0
TUN,3,1995,1,1
TUN,3,2000,1,1
TUN,3,2005,1,2
TUN,3,2010,1,2
TUN,3,2015,1,2
TUR,3,1987,1,0
TUR,3,1994,1,0
TUR,3,2002,1,1
TUR,3,2003,1,1
TUR,3,2004,1,1
TUR,3,2005,1,1
TUR,3,2006,1,1
TUR,3,2007,1,1
TUR,3,2008,1,1
TUR,3,2009,1,1
TUR,3,2010,1,1
TUR,3,2011,1,1
TUR,3,2012,1,1
TUR,3,2013,1,1
TUR,3,2014,1,1
TUR,3,2015,1,1
TUR,3,2016,1,1
TUV,3,2010,1,0
TZA,3,1991,1,0
TZA,3,2000,1,1
TZA,3,2007,1,1
TZA,3,2011,1,1
UGA,3,1989,1,0
UGA,3,1992,1,1
UGA,3,1996,1,1
UGA,3,1999,1,1
UGA,3,2002,1,2
UGA,3,2005,1,2
UGA,3,2009,1,2
UGA,3,2012,1,2
UGA,3,2016,1,2
UKR,3,1992,1,0
UKR,3,1993,1,0
UKR,3,1995,1,1
UKR,3,1996,1,2
UKR,3,1999,2,3
UKR,3,2002,1,4
UKR,3,2003,1,4
UKR,3,2004,1,4
UKR,3,2005,1,4
UKR,3,2006,1,4
UKR,3,2007,1,4
UKR,3,2008,1,4
UKR,3,2009,1,4
UKR,3,2010,1,4
UKR,3,2011,1,4
UKR,3,2012,1,4
UKR,3,2013,1,4
UKR,3,2014,1,4
UKR,3,2015,1,4
UKR,3,2016,1,4
URY,3,1981,2,0
URY,3,1989,2,1
URY,2,1992,2,2
URY,2,1995,2,2
URY,2,1996,2,2
URY,2,1997,2,2
URY,2,1998,2,2
URY,2,2000,2,2
URY,2,2001,2,2
URY,2,2002,2,2
URY,2,2003,2,2
URY,2,2004,2,2
URY,2,2005,2,2
URY,3,2006,2,3
URY,3,2007,2,3
URY,3,2008,2,3
URY,3,2009,2,3
URY,3,2010,2,3
URY,3,2011,2,3
URY,3,2012,2,3
URY,3,2013,2,3
URY,3,2014,2,3
URY,3,2015,2,3
URY,3,2016,2,3
URY,3,2017,2,3
USA,3,1979,2,0
USA,3,1986,2,0
USA,3,1991,2,0
USA,3,1994,2,0
USA,3,1997,2,0
USA,3,2000,2,0
USA,3,2004,2,1
USA,3,2007,2,1
USA,3,2010,2,1
USA,3,2013,2,1
USA,3,2016,2,1
UZB,3,1998,1,0
UZB,3,2000,1,0
UZB,3,2002,1,0
UZB,3,2003,1,0
VEN,3,1981,2,0
VEN,3,1987,2,0
VEN,3,1989,2,1
VEN,3,1992,2,1
VEN,3,1995,2,1
VEN,3,1998,2,1
VEN,3,1999,2,1
VEN,3,2001,2,2
VEN,3,2002,2,2
VEN,3,2003,2,2
VEN,3,2004,2,2
VEN,3,2005,2,2
VEN,3,2006,2,2
VNM,3,1992,1,0
VNM,3,1998,1,0
VNM,3,2002,1,1
VNM,3,2004,1,1
VNM,3,2006,1,1
VNM,3,2008,1,1
VNM,3,2010,1,2
VNM,3,2012,1,2
VNM,3,2014,1,2
VNM,3,2016,1,2
VUT,3,2010,1,0
WSM,3,2002,1,0
WSM,3,2008,1,0
WSM,3,2013,1,0
XKX,3,2003,1,0
XKX,3,2005,1,0
XKX,3,2006,1,0
XKX,3,2009,1,0
XKX,3,2010,1,0
XKX,3,2011,1,0
XKX,3,2012,1,2
XKX,3,2013,1,2
XKX,3,2014,1,2
XKX,3,2015,1,2
XKX,3,2016,1,2
XKX,3,2017,1,2
YEM,3,1998,1,0
YEM,3,2005,1,1
YEM,3,2014,1,1
ZAF,3,1993,1,0
ZAF,3,1996,1,1
ZAF,3,2000,1,2
ZAF,3,2005,1,3
ZAF,3,2008,1,4
ZAF,3,2010,1,3
ZAF,3,2014,1,3
ZMB,3,1991,1,0
ZMB,3,1993,1,1
ZMB,3,1996,1,2
ZMB,3,1998,1,3
ZMB,3,2002,1,3
ZMB,3,2004,1,3
ZMB,3,2006,1,3
ZMB,3,2010,1,4
ZMB,3,2015,1,4
ZWE,3,2011,1,0
